n	y[n]	INTEG(y[n])
401	5096	11355
402	5100	11375
403	5080	11395
404	5084	11415
405	5064	11434
406	5068	11454
407	5048	11474
408	5052	11494
409	5032	11513
410	5036	11533
411	5016	11553
412	5020	11572
413	5001	11592
414	5005	11611
415	4985	11631
416	4989	11650
417	4969	11670
418	4973	11689
419	4954	11708
420	4958	11728
421	4938	11747
422	4942	11766
423	4923	11786
424	4927	11805
425	4908	11824
426	4912	11843
427	4892	11862
428	4896	11881
429	4877	11901
430	4881	11920
431	4862	11939
432	4866	11958
433	4847	11977
434	4851	11995
435	4832	12014
436	4836	12033
437	4817	12052
438	4821	12071
439	4802	12090
440	4806	12108
441	4787	12127
442	4791	12146
443	4772	12164
444	4776	12183
445	4758	12202
446	4761	12220
447	4743	12239
448	4747	12257
449	4728	12276
450	4732	12294
451	4714	12313
452	4718	12331
453	4699	12350
454	4703	12368
455	4685	12386
456	4689	12405
457	4670	12423
458	4674	12441
459	4656	12459
460	4660	12477
461	4642	12496
462	4645	12514
463	4627	12532
464	4631	12550
465	4613	12568
466	4617	12586
467	4599	12604
468	4603	12622
469	4585	12640
470	4589	12658
471	4571	12676
472	4575	12693
473	4557	12711
474	4561	12729
475	4543	12747
476	4547	12765
477	4529	12782
478	4533	12800
479	4515	12818
480	4519	12835
481	4502	12853
482	4506	12870
483	4488	12888
484	4492	12906
485	4474	12923
486	4478	12940
487	4461	12958
488	4465	12975
489	4447	12993
490	4451	13010
491	4434	13027
492	4438	13045
493	4420	13062
494	4424	13079
495	4407	13097
496	4411	13114
497	4394	13131
498	4397	13148
499	4380	13165
500	4384	13182
501	4367	13199
502	4371	13216
503	4354	13233
504	4358	13250
505	4341	13267
506	4345	13284
507	4328	13301
508	4332	13318
509	4315	13335
510	4319	13352
511	4302	13369
512	4306	13386
513	4289	13402
514	4293	13419
515	4276	13436
516	4280	13453
517	4263	13469
518	4267	13486
519	4250	13502
520	4254	13519
521	4238	13536
522	4242	13552
523	4225	13569
524	4229	13585
525	4212	13602
526	4216	13618
527	4200	13635
528	4204	13651
529	4187	13667
530	4191	13684
531	4175	13700
532	4179	13716
533	4162	13733
534	4166	13749
535	4150	13765
536	4154	13781
537	4138	13797
538	4142	13814
539	4126	13830
540	4129	13846
541	4113	13862
542	4117	13878
543	4101	13894
544	4105	13910
545	4089	13926
546	4093	13942
547	4077	13958
548	4081	13974
549	4065	13990
550	4069	14006
551	4053	14022
552	4057	14037
553	4041	14053
554	4045	14069
555	4029	14085
556	4033	14100
557	4017	14116
558	4021	14132
559	4005	14148
560	4009	14163
561	3994	14179
562	3998	14194
563	3982	14210
564	3986	14226
565	3970	14241
566	3974	14257
567	3959	14272
568	3963	14287
569	3947	14303
570	3951	14318
571	3936	14334
572	3939	14349
573	3924	14364
574	3928	14380
575	3913	14395
576	3917	14410
577	3901	14426
578	3905	14441
579	3890	14456
580	3894	14471
581	3879	14486
582	3882	14502
583	3867	14517
584	3871	14532
585	3856	14547
586	3860	14562
587	3845	14577
588	3849	14592
589	3834	14607
590	3838	14622
591	3823	14637
592	3827	14652
593	3812	14667
594	3816	14682
595	3801	14696
596	3805	14711
597	3790	14726
598	3794	14741
599	3779	14756
600	3783	14771
601	3768	14785
602	3772	14800
603	3757	14815
604	3761	14829
605	3746	14844
606	3750	14859
607	3736	14873
608	3739	14888
609	3725	14902
610	3729	14917
611	3714	14931
612	3718	14946
613	3704	14960
614	3708	14975
615	3693	14989
616	3697	15004
617	3682	15018
618	3686	15033
619	3672	15047
620	3676	15061
621	3662	15076
622	3665	15090
623	3651	15104
624	3655	15118
625	3641	15133
626	3645	15147
627	3630	15161
628	3634	15175
629	3620	15189
630	3624	15204
631	3610	15218
632	3614	15232
633	3600	15246
634	3604	15260
635	3590	15274
636	3593	15288
637	3579	15302
638	3583	15316
639	3569	15330
640	3573	15344
641	3559	15358
642	3563	15372
643	3549	15386
644	3553	15399
645	3539	15413
646	3543	15427
647	3529	15441
648	3533	15455
649	3519	15468
650	3523	15482
651	3510	15496
652	3513	15510
653	3500	15523
654	3504	15537
655	3490	15551
656	3494	15564
657	3480	15578
658	3484	15591
659	3471	15605
660	3474	15619
661	3461	15632
662	3465	15646
663	3451	15659
664	3455	15673
665	3442	15686
666	3446	15700
667	3432	15713
668	3436	15726
669	3423	15740
670	3426	15753
671	3413	15766
672	3417	15780
673	3404	15793
674	3408	15806
675	3394	15820
676	3398	15833
677	3385	15846
678	3389	15859
679	3376	15873
680	3379	15886
681	3366	15899
682	3370	15912
683	3357	15925
684	3361	15938
685	3348	15951
686	3352	15965
687	3339	15978
688	3342	15991
689	3329	16004
690	3333	16017
691	3320	16030
692	3324	16043
693	3311	16056
694	3315	16068
695	3302	16081
696	3306	16094
697	3293	16107
698	3297	16120
699	3284	16133
700	3288	16146
701	3275	16158
702	3279	16171
703	3266	16184
704	3270	16197
705	3258	16210
706	3261	16222
707	3249	16235
708	3253	16248
709	3240	16260
710	3244	16273
711	3231	16286
712	3235	16298
713	3222	16311
714	3226	16323
715	3214	16336
716	3218	16349
717	3205	16361
718	3209	16374
719	3196	16386
720	3200	16399
721	3188	16411
722	3192	16424
723	3179	16436
724	3183	16448
725	3171	16461
726	3175	16473
727	3162	16486
728	3166	16498
729	3154	16510
730	3158	16523
731	3145	16535
732	3149	16547
733	3137	16559
734	3141	16572
